SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
KONTOR,SM,164.9,164.9,151.95,151.95,151.95,159.95,16800,2633220.00,07-Oct-2024,11,INE0KZ301010
MAANALU,EQ,180,180,158.44,166.16,165.5,174.75,808871,134839793.36,07-Oct-2024,9963,INE215I01027
SGBDEC26,GB,8046.25,8046.25,8046.25,8046.25,8046.25,8046.25,1,8046.25,07-Oct-2024,1,IN0020180389
COROMANDEL,EQ,1625,1638.45,1557.05,1566.25,1570.75,1619.9,451674,717244656.90,07-Oct-2024,34330,INE169A01031
RANEENGINE,BE,479.25,492.85,459.05,463.85,470.5,483.2,7230,3357746.50,07-Oct-2024,227,INE222J01013
SADHNANIQ,EQ,55.95,56.14,51.1,52.68,53.9,55.63,394940,21016109.37,07-Oct-2024,3816,INE888C01040
DHANI,EQ,51.32,51.48,47.05,47.43,47.6,50.92,3764436,182183317.81,07-Oct-2024,16805,INE274G01010
DWARKESH,EQ,75.33,75.64,70.05,70.89,71.3,75.16,1755830,126495362.48,07-Oct-2024,14855,INE366A01041
GUJGASLTD,EQ,620,620,592.8,596.15,596,616.45,1191569,716593890.30,07-Oct-2024,39097,INE844O01030
HDFCNIF100,EQ,27.97,29.1,26.16,28.42,28,26.95,254862,6829037.33,07-Oct-2024,1246,INF179KC1HR4
UNOMINDA,EQ,1046,1050.25,990.4,992.8,993,1041.1,1077306,1085986911.95,07-Oct-2024,61930,INE405E01023
INNOVANA,SM,458.2,481,451,462,462,458.75,2200,1039670.00,07-Oct-2024,8,INE403Y01018
MANAKSTEEL,EQ,67,70,64.5,65.09,66,67.08,343040,23098401.04,07-Oct-2024,2715,INE824Q01011
MBECL,BZ,5.28,5.28,5.28,5.28,5.28,5.39,2541,13416.48,07-Oct-2024,17,INE748A01016
CONSUMBEES,EQ,136.51,137.49,134.18,135.3,134.9,136.52,276339,37463767.32,07-Oct-2024,3894,INF204KA1LD7
SHEETAL,SM,65.5,65.5,65.2,65.2,65.2,66,8000,523200.00,07-Oct-2024,4,INE04VX01019
JNKINDIA,BE,639.9,639.9,602.15,630.65,630,630,62800,38758505.80,07-Oct-2024,1850,INE0OAF01028
SGBNV29VII,GB,8151.03,8221,8151.03,8209.06,8172,8143.97,146,1197568.06,07-Oct-2024,38,IN0020210178
ASPINWALL,EQ,281,287.95,265,268.45,269.35,280.8,12790,3482870.00,07-Oct-2024,748,INE991I01015
AURIONPRO,EQ,1603.95,1605,1493.55,1493.55,1493.55,1572.15,40496,61521284.60,07-Oct-2024,2258,INE132H01018
BLISSGVS,EQ,131.25,132.79,120,120.7,121.14,130.27,973430,120828913.83,07-Oct-2024,10240,INE416D01022
NEPHROCARE,SM,224.5,224.5,211.55,216.45,215,221.15,104000,22520560.00,07-Oct-2024,45,INE0SUN01013
ELGIEQUIP,EQ,680,680,636,640.5,641,680.4,218321,141541000.40,07-Oct-2024,21186,INE285A01027
GIRIRAJ,SM,365,365,365,365,365,395,250,91250.00,07-Oct-2024,1,INE614Z01017
SCILAL,EQ,68.5,68.6,63.1,64.12,64.8,67.96,1442630,93858148.45,07-Oct-2024,9945,INE0PB301013
TITAN,EQ,3739.95,3748,3552.3,3589.25,3575,3670.1,2523321,9089783038.40,07-Oct-2024,183567,INE280A01028
WELINV,EQ,976.8,999.4,901,938.55,949,983.2,498,473166.85,07-Oct-2024,121,INE389K01018
IGL,EQ,553,553.05,533.35,542.15,542.9,549.35,2927376,1582108877.10,07-Oct-2024,51128,INE203G01027
ESG,EQ,42.5,42.6,41.82,42.02,42.06,42.44,145312,6104445.60,07-Oct-2024,552,INF769K01GS9
MIDCAPETF,EQ,22.33,22.33,21.34,21.54,21.54,22,5511227,119158417.37,07-Oct-2024,19983,INF769K01IC9
ABMINTLLTD,BE,56.85,56.85,55.1,55.1,55.1,58,331,18329.06,07-Oct-2024,12,INE251C01025
CGPOWER,EQ,718,762,709.05,759.15,756.35,718.75,8376857,6181531609.25,07-Oct-2024,174373,INE067A01029
ORIENTBELL,EQ,355,355.35,314.3,338.85,339.85,354.35,43508,14451186.95,07-Oct-2024,2000,INE607D01018
RADICO,EQ,2035,2050,1927.75,2007.15,2020,2030.55,222709,440591345.70,07-Oct-2024,26975,INE944F01028
SETFNIF50,EQ,266.84,266.98,260.95,264.58,266,265.52,1139161,299931313.63,07-Oct-2024,11399,INF200KA1FS1
EFORCE,SM,68.4,69,66,66.4,66.1,70,67200,4468560.00,07-Oct-2024,45,INE0Q1W01012
HDFCPSUBK,EQ,68.49,68.49,64.97,66.6,65.69,67.83,128243,8531799.06,07-Oct-2024,880,INF179KC1HW4
VIVIANA,ST,774.5,801.05,774.5,774.5,774.5,815.25,18000,14227600.00,07-Oct-2024,15,INE0MEG01014
MAHLIFE,EQ,511.25,514.85,485,489,490,519.7,612697,303380037.15,07-Oct-2024,32397,INE813A01018
ALLETEC,SM,417.95,436,387.1,406.75,410,399.15,75200,30841120.00,07-Oct-2024,180,INE0M2X01012
BANKBETF,EQ,52.79,55.02,50.71,51.04,51.08,51.95,30601,1574306.00,07-Oct-2024,626,INF0QA701714
CELLO,EQ,893.05,893.95,864,877.35,880,892.75,90019,78786041.30,07-Oct-2024,12829,INE0LMW01024
CORDSCABLE,EQ,207.1,213,188.12,192.73,192.45,209.86,83577,16448261.08,07-Oct-2024,1977,INE792I01017
PEL,EQ,1035.55,1051.7,986.05,1001.75,999.6,1032.45,1136608,1145050744.85,07-Oct-2024,50696,INE140A01024
RUCHINFRA,BE,13.64,13.64,13,13.05,13.14,13.64,128760,1694134.38,07-Oct-2024,495,INE413B01023
SBILIFE,EQ,1800,1819.85,1776,1787.95,1787.05,1798.1,692912,1239545331.15,07-Oct-2024,42372,INE123W01016
DLINKINDIA,EQ,582.1,594,551.05,561.35,562,586.35,193859,109427579.45,07-Oct-2024,9245,INE250K01012
SKIPPER,EQ,490,492,440,442.95,449.65,483.65,869576,396891138.05,07-Oct-2024,47017,INE439E01022
VASA,ST,5.5,5.5,5.5,5.5,5.5,5.75,4000,22000.00,07-Oct-2024,1,INE068Z01016
VIAZ,SM,64.8,65,64.7,64.7,64.7,68.1,150000,9706000.00,07-Oct-2024,19,INE0MO401019
J&KBANK,EQ,102.39,103.17,96.59,97.35,97.2,101.73,3740439,370802982.74,07-Oct-2024,29628,INE168A01041
KNRCON,EQ,326,330.55,305.3,310.15,310.95,325.8,843742,264997700.60,07-Oct-2024,40746,INE634I01029
AATMAJ,SM,25.55,26.85,25,25.95,26.4,26.5,38000,985700.00,07-Oct-2024,19,INE0OB201016
AGI,EQ,926,952.85,895,903.45,912,932.9,236220,215950593.85,07-Oct-2024,17439,INE415A01038
AMBER,EQ,4921.2,5051,4800,4931.3,4905.9,4918.9,344865,1699675317.05,07-Oct-2024,48830,INE371P01015
IMC1,N0,248.25,248.5,248.25,248.5,248.5,245,55,13664.00,07-Oct-2024,2,INE00QS24019
IMC1,N1,252,252,251,251.95,251.95,251.5,385,96648.60,07-Oct-2024,6,INE00QS24043
IMC1,N2,250.1,250.3,250.1,250.3,250.3,252.95,71,17766.30,07-Oct-2024,3,INE00QS24027
IMC1,N3,250,250.18,250,250.18,250.18,250,134,33522.32,07-Oct-2024,3,INE00QS24035
GRINDWELL,EQ,2455,2456.95,2382.15,2398.95,2405,2441.15,43961,105603096.15,07-Oct-2024,6902,INE536A01023
SHRIPISTON,EQ,2070.1,2074.7,1933,1962.25,1965,2055.85,122016,241581478.00,07-Oct-2024,20549,INE526E01018
IIFLSEC,EQ,394.3,399,356,356,356,395.55,1742728,637982714.65,07-Oct-2024,37076,INE489L01022
NIFTY1,EQ,273.28,276.33,269.33,270.45,273.19,273.28,146653,39767105.00,07-Oct-2024,2114,INF174K014P6
NDGL,EQ,4700,4700,4015,4116.25,4040,3959.75,2705,11621733.95,07-Oct-2024,709,INE756C01015
ZENITHEXPO,BE,298,302,288,289.6,290,288,1793,531874.35,07-Oct-2024,39,INE058B01018
SGBJUN27,GB,8101,8101,8101,8101,8101,8101,1,8101.00,07-Oct-2024,1,IN0020190073
ARTEMISMED,EQ,271.55,272.45,249.45,253.9,254.95,267.8,215376,55269130.15,07-Oct-2024,7273,INE025R01021
ASIANENE,EQ,375,383.65,356.4,356.45,356.4,375.15,104869,37815590.75,07-Oct-2024,1912,INE276G01015
PANSARI,BE,115.2,119.72,115.15,115.15,115.15,121.22,2689,309822.48,07-Oct-2024,31,INE697V01011
718GS2033,GS,102.55,102.76,102.55,102.7,102.7,103.1,63501,6523131.75,07-Oct-2024,10,IN0020230085
SURANAT&P,BE,22,22,21.13,21.13,21.13,22.25,153586,3282145.80,07-Oct-2024,1204,INE130B01031
TTKHLTCARE,EQ,1592.05,1651.45,1581.05,1587,1581.05,1611.55,65810,104914637.05,07-Oct-2024,660,INE910C01018
JTLIND,EQ,226.02,226.02,205.79,207.46,209,222.7,1841553,390203017.17,07-Oct-2024,32094,INE391J01024
MARUTI,EQ,12626.05,12648,12378,12527.5,12541,12605.75,465500,5826342143.85,07-Oct-2024,72300,INE585B01010
SGBFEB29XI,GB,8199,8199,8100,8120,8120,8163.8,27,219904.01,07-Oct-2024,13,IN0020200393
ALKALI,EQ,119.85,121,112,113.63,113.1,118.09,32516,3740762.94,07-Oct-2024,1069,INE773I01017
CHEMBOND,EQ,585.8,595,556,559.5,564,590.4,21434,12203754.00,07-Oct-2024,1454,INE995D01025
PENINLAND,EQ,50.76,51.62,47.2,49.12,48.75,51.37,747183,36364917.94,07-Oct-2024,4331,INE138A01028
364D060325,TB,96.6,96.6,96.6,96.6,96.6,96.6,1000,96600.00,07-Oct-2024,1,IN002023Z521
NV20IETF,EQ,16.6,16.6,15.65,16.03,15.9,16.11,1169344,18634226.92,07-Oct-2024,6843,INF109KC11V0
SUNTV,EQ,811.85,817.6,786.1,794.9,795.1,811.85,247439,197589116.80,07-Oct-2024,19894,INE424H01027
TMB,EQ,457,459,442.5,444.95,446.1,456.8,161008,72185035.05,07-Oct-2024,10441,INE668A01016
UDAICEMENT,EQ,31.65,31.75,30.55,30.81,30.75,31.18,498108,15420021.11,07-Oct-2024,3237,INE225C01029
VSTL,EQ,246.9,255,236.3,243.7,243.5,243.5,62074,15241428.55,07-Oct-2024,2152,INE0QTF01015
WALCHANNAG,EQ,299.7,302.9,280.1,280.1,280.1,294.85,248042,70574591.50,07-Oct-2024,4079,INE711A01022
ZFCVINDIA,EQ,15354.25,15481.6,15015.05,15075.65,15032.2,15481.6,5236,79497597.60,07-Oct-2024,1897,INE342J01019
SGBNOV24,GB,7799,7799.9,7702.07,7790,7790,7698.57,64,497618.01,07-Oct-2024,17,IN0020160076
DHANBANK,EQ,36.15,36.28,34.1,34.48,34.73,36.08,1377880,48010631.26,07-Oct-2024,5449,INE680A01011
SHALBY,EQ,272,273.5,256.6,257.85,258.45,271.1,192689,50312567.55,07-Oct-2024,4046,INE597J01018
JYOTHYLAB,EQ,542.6,543.9,519.9,533.5,537,539.6,601576,319514092.35,07-Oct-2024,36980,INE668F01031
KDDL,EQ,3010,3013,2750,2785.2,2800,2969.7,59482,170488981.80,07-Oct-2024,5241,INE291D01011
MIDCAP,EQ,167.95,169.9,157.59,164.63,166.96,167.96,80211,13187844.36,07-Oct-2024,1710,INF174KA1IB3
MAGNUM,EQ,46.72,46.72,43.31,43.51,43.5,45.07,90219,3939980.37,07-Oct-2024,944,INE387I01016
NGLFINE,EQ,1968,1991.45,1872.55,1900.65,1925,1939.6,8266,15782439.65,07-Oct-2024,796,INE887E01022
RAINBOW,EQ,1377.15,1394.6,1339.15,1374.2,1375.8,1379.15,213160,290438671.50,07-Oct-2024,19290,INE961O01016
RBS,SM,100,100,95.35,97.1,96.2,99.95,44800,4358720.00,07-Oct-2024,28,INE0RJH01010
RPTECH,EQ,371.65,378.8,350,375.45,375.9,369.85,231619,84034376.55,07-Oct-2024,6928,INE0J1F01024
1030ICCL28,NM,981,981,981,981,981,1004.57,5,4905.00,07-Oct-2024,2,INE244L07283
DPABHUSHAN,EQ,1629.95,1629.95,1546.55,1558.6,1567.8,1617.35,59118,93029081.85,07-Oct-2024,5225,INE266Y01019
GOYALALUM,EQ,10.07,10.17,9.06,9.42,9.49,10.07,589891,5538322.70,07-Oct-2024,3409,INE705X01026
HDFCLIFE,EQ,711.65,719.3,702.9,705.85,703,708.8,3474485,2464698775.00,07-Oct-2024,95290,INE795G01014
TIRUMALCHM,EQ,320.85,322.15,302.55,304.15,304.2,319.65,359219,110394692.55,07-Oct-2024,14035,INE338A01024
UNITEDTEA,EQ,475,477.75,444,446.25,446,470.85,18812,8598191.40,07-Oct-2024,861,INE458F01011
VILINBIO,SM,21.5,22.5,21,22.4,22.5,21.6,36000,787000.00,07-Oct-2024,9,INE0L4V01013
YCCL,SM,22.75,22.75,21,21,21,21.95,15000,324150.00,07-Oct-2024,5,INE08S201019
IOLCP,EQ,455.65,456.45,429.5,431.8,431,451.65,437493,191604409.85,07-Oct-2024,22974,INE485C01011
ITALIANE,SM,59,60,55.4,56.2,55.4,58.75,50000,2902500.00,07-Oct-2024,25,INE0R7R01018
KALANA,ST,41.35,41.5,40.8,40.8,40.8,42.95,96000,3924000.00,07-Oct-2024,48,INE0T0L01014
MWL,SM,146,146,135.4,143.95,144,146,21600,3062160.00,07-Oct-2024,17,INE0JYY01011
ARE&M,EQ,1382,1391.95,1306,1324.4,1328.5,1379.6,1071552,1423751664.80,07-Oct-2024,84419,INE885A01032
CAPACITE,EQ,386.25,387.4,357.55,361.8,361.6,380.55,1540134,563305715.90,07-Oct-2024,34368,INE264T01014
SPAL,EQ,913,924.9,855.1,876.2,876,911.65,23370,20681676.60,07-Oct-2024,2173,INE212I01016
HARDWYN,EQ,39,39.69,34.88,34.93,34.88,38.76,649187,23502969.57,07-Oct-2024,3491,INE626Z01029
FMCGIETF,EQ,68.9,68.9,65.7,65.98,66.09,66.93,696398,46159381.04,07-Oct-2024,13284,INF109KC19V3
SUPREMEENG,BE,3.5,3.5,3.39,3.39,3.39,3.46,719263,2479807.05,07-Oct-2024,622,INE319Z01021
769NHAI31,NE,1104,1106.98,1103,1103.97,1103,1102.5,1175,1297935.51,07-Oct-2024,26,INE906B07EP5
INGERRAND,EQ,4100,4163.95,3997.85,4068.45,4100.05,4098.2,17363,70695296.25,07-Oct-2024,5951,INE177A01018
MIDSMALL,EQ,54.39,54.39,51.75,52.32,52.37,53.4,940470,49313547.96,07-Oct-2024,3350,INF769K01LJ8
21STCENMGM,BE,98.68,98.68,98.68,98.68,98.68,100.7,4581,452053.08,07-Oct-2024,90,INE253B01015
AVG,EQ,446,448.8,432.55,445.9,448,444,26030,11466049.60,07-Oct-2024,1048,INE680Z01018
DYNAMATECH,EQ,7819.95,7832.85,7500.05,7626.35,7630,7792.1,15572,118698076.80,07-Oct-2024,4199,INE221B01012
SPECTRUM,SM,1610.05,1610.05,1563.55,1567.9,1563.75,1645.85,3500,5540337.50,07-Oct-2024,25,INE01EO01010
YAARI,BE,11.7,12,10.91,10.97,11,11.49,184526,2054402.38,07-Oct-2024,395,INE126M01010
