SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
PPLPHARMA,EQ,219.15,221.99,217.85,221.3,221.5,218.29,3076044,678082911.13,11-Oct-2024,40157,INE0DK501011
REFRACTORY,ST,118,119.4,116,119.4,119.4,113.75,84000,9876200.00,11-Oct-2024,16,INE0TNX01015
VPRPL,EQ,276,283.5,274.2,277.35,277,270.55,2781726,772804595.00,11-Oct-2024,36559,INE0AE001013
SGBSEP31II,GB,8242,8350.9,8242,8343.61,8350.9,8229.45,1102,9154218.37,11-Oct-2024,190,IN0020230093
BASF,EQ,8120,8287,8074.9,8168.25,8104,8112.85,19598,160301350.55,11-Oct-2024,6460,INE373A01013
EXICOM,EQ,334.35,334.4,325,327,327.8,331.75,225197,73931488.05,11-Oct-2024,5981,INE777F01014
GEOJITFSL,EQ,135.98,141.5,135.5,137.94,136.55,135.74,720754,99651852.87,11-Oct-2024,8732,INE007B01023
HINDCOMPOS,EQ,542,550,535.45,544.55,549.8,538.2,6209,3367515.60,11-Oct-2024,466,INE310C01029
KREBSBIO,BE,80.4,81,80.25,80.25,80.25,80.4,3711,299425.50,11-Oct-2024,24,INE268B01013
AAVAS,EQ,1710.05,1733.6,1710.05,1718.85,1712.5,1721.5,53220,91553261.40,11-Oct-2024,9442,INE216P01012
AWHCL,EQ,821,821,776.8,783,783,812.7,262376,208395682.40,11-Oct-2024,11129,INE01BK01022
ACSAL,ST,113.15,119.5,113.15,119.5,119.5,113.85,36000,4215000.00,11-Oct-2024,11,INE0P4T01013
BRACEPORT,SM,116.3,118.3,115,115,115,116.1,11200,1306400.00,11-Oct-2024,7,INE0R4Z01018
CONSOFINVT,EQ,207.5,211.66,206.15,208.61,209.88,206.38,5814,1212637.14,11-Oct-2024,296,INE025A01027
PPSL,SM,32.35,32.7,32,32.7,32.7,32.35,96000,3103200.00,11-Oct-2024,14,INE0YAL01017
SAHAJSOLAR,ST,625,625,602.5,609.25,610,627.15,26400,16142520.00,11-Oct-2024,33,INE0P4701011
SUBEXLTD,EQ,26.83,26.9,26.2,26.44,26.5,26.81,3130553,83090385.80,11-Oct-2024,7716,INE754A01055
SUNDRMFAST,EQ,1435,1454.85,1428.2,1434.25,1439,1448.1,19262,27744198.20,11-Oct-2024,4579,INE387A01021
VISHNUINFR,ST,309,310.45,307,310,310,298.8,6000,1856500.00,11-Oct-2024,12,INE0PQ001012
AKUMS,EQ,859.9,863.25,852.1,857.1,856.95,853.9,43121,36943308.80,11-Oct-2024,4842,INE09XN01023
DRONE,ST,231,235,224.15,225.5,225.5,235.1,35000,7972600.00,11-Oct-2024,34,INE0P7201019
GET&D,BE,1770,1824.8,1721.5,1775.7,1767.75,1770.05,862737,1532153562.85,11-Oct-2024,9230,INE200A01026
RUSTOMJEE,EQ,718.8,718.8,703,708.5,706,709.3,14127,10014891.95,11-Oct-2024,1414,INE263M01029
MON100,EQ,166.97,166.97,163.6,164.93,165,165.2,534924,88201176.32,11-Oct-2024,6642,INF247L01AP3
NAHARPOLY,BE,256.99,257.95,248.01,256.21,257.9,252.03,8814,2248349.54,11-Oct-2024,119,INE308A01027
NETWORK18,EQ,76.26,82,76.26,81.36,81.75,76.26,7405699,594624938.10,11-Oct-2024,39259,INE870H01013
SAHYADRI,EQ,345.95,349.95,338.4,344.95,349.8,344.45,10740,3688655.90,11-Oct-2024,1279,INE280H01015
SIGNATURE,EQ,1509.85,1515.5,1476.15,1490.7,1498,1509.85,355544,530602481.05,11-Oct-2024,10072,INE903U01023
SILVERETF,EQ,88.21,89.28,88.19,88.79,88.55,87.34,59349,5269433.68,11-Oct-2024,682,INF789F1AYK6
CIEINDIA,EQ,541.95,551.95,538.6,541.2,540,544.9,206917,112875749.20,11-Oct-2024,8877,INE536H01010
ESABINDIA,EQ,6206,6243.55,6135.05,6151.75,6158,6198.8,2109,12993050.45,11-Oct-2024,563,INE284A01012
GALAPREC,EQ,826.9,839.95,815,828.85,830.4,827.1,52819,43706096.80,11-Oct-2024,3597,INE0RE001014
